subject_record_number,subject_record_date,subject_source_county,subject_address,subject_company_name,subject_job_value,neighbor_rank,distance,neighbor_record_number,neighbor_record_date,neighbor_source_county,neighbor_company_name,neighbor_address,neighbor_prop_zip,neighbor_bldg_sf,neighbor_job_value
BLD-25-15429,2025-11-01,douglas,5010 N 40 ST,EVERLAST EXTERIORS,14123.0,12,1.58310716781968,BLD-25-15691,2025-11-05,douglas,LA LOMA ROOFING,3932 N 23 ST,68110,1170.0,16665.0
BLD-25-15430,2025-11-01,douglas,2712 N 130 ST,"JDM ROOFING, LLC",11000.0,1,0.1817297493392329,BLD-26-01144,2026-02-12,douglas,WHITE CASTLE ROOFING & CONTRACTING INC,12717 ERSKINE ST,68164,1553.0,6146.0
BLD-25-15430,2025-11-01,douglas,2712 N 130 ST,"JDM ROOFING, LLC",11000.0,2,0.5352349862682394,BLD-26-02611,2026-03-23,douglas,BB ROOFING,15401 LOCUST ST,68116,1539.0,13940.0
BLD-25-15430,2025-11-01,douglas,2712 N 130 ST,"JDM ROOFING, LLC",11000.0,3,0.5474467404636012,BLD-25-16119,2025-11-17,douglas,BULLDOG ROOFING,12112 BEDFORD AV,68164,1843.0,10413.26
BLD-25-15430,2025-11-01,douglas,2712 N 130 ST,"JDM ROOFING, LLC",11000.0,4,0.6438342172898257,BLD-26-02765,2026-03-26,douglas,"ANDERSON ENTERPRISES, INC",15319 CUMING ST,68154,1810.0,8000.0
BLD-25-15430,2025-11-01,douglas,2712 N 130 ST,"JDM ROOFING, LLC",11000.0,5,0.7379495408456137,BLD-26-02741,2026-03-25,douglas,SQUAREUP EXTERIORS,4227 N 163 AV,68116,1605.0,15668.35
BLD-25-15430,2025-11-01,douglas,2712 N 130 ST,"JDM ROOFING, LLC",11000.0,6,0.7787473623497762,BLD-26-02389,2026-03-18,douglas,RESULTS CONTRACTING,14910 SEWARD PA,68154,1897.0,25000.0
BLD-25-15430,2025-11-01,douglas,2712 N 130 ST,"JDM ROOFING, LLC",11000.0,7,0.8061310359885164,BLD-25-16460,2025-11-26,douglas,LEGACY RESTORATION,11704 HIMEBAUGH CR,68164,1764.0,15050.0
BLD-25-15430,2025-11-01,douglas,2712 N 130 ST,"JDM ROOFING, LLC",11000.0,8,0.8067501863659686,BLD-25-15583,2025-11-05,douglas,HUGHES CONSTRUCTION,15337 CALIFORNIA ST,68154,1922.0,7500.0
BLD-25-15430,2025-11-01,douglas,2712 N 130 ST,"JDM ROOFING, LLC",11000.0,9,0.8438063376695013,BLD-25-16326,2025-11-21,douglas,"PYRAMID ROOFING (AKA PYRAMID CONTRACTORS, INC)",15014 DOUGLAS CR,68154,1855.0,6806.55
BLD-25-15430,2025-11-01,douglas,2712 N 130 ST,"JDM ROOFING, LLC",11000.0,10,0.8598082460737058,BLD-26-01735,2026-03-02,douglas,RAMOS ROOFING,6346 N 115 AVENUE CR,68164,1560.0,5300.0
BLD-25-15430,2025-11-01,douglas,2712 N 130 ST,"JDM ROOFING, LLC",11000.0,11,0.8961787822971224,BLD-26-03320,2026-04-08,douglas,PINNACLE CONSTRUCTION,4709 N 148 ST,68116,1832.0,12000.0
BLD-25-15430,2025-11-01,douglas,2712 N 130 ST,"JDM ROOFING, LLC",11000.0,12,0.9004827619349577,BLD-26-02414,2026-03-18,douglas,White Castle Roofing,1306 N 158 AV,68118,2038.0,6984.0
BLD-25-15434,2025-11-02,douglas,9606 AMES AV,WARREN ROOFING,4500.0,1,0.2713700345645113,BLD-25-16411,2025-11-25,douglas,RESULTS CONTRACTING,4223 N 101 ST,68134,1264.0,17000.0
BLD-25-15434,2025-11-02,douglas,9606 AMES AV,WARREN ROOFING,4500.0,2,0.28671778911469187,BLD-26-03588,2026-04-14,douglas,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,9706 CAMDEN AV,68134,1196.0,6593.07
BLD-25-15434,2025-11-02,douglas,9606 AMES AV,WARREN ROOFING,4500.0,3,0.296822802465746,BLD-26-03187,2026-04-06,douglas,AMERIPRO ROOFING OF NEBRASKA,3830 N 101 ST,68134,1122.0,14031.19
BLD-25-15434,2025-11-02,douglas,9606 AMES AV,WARREN ROOFING,4500.0,4,0.3142422111839215,BLD-25-16508,2025-12-02,douglas,4140 S 52ND ST.,4605 N 95 ST,68134,1064.0,14782.0
BLD-25-15434,2025-11-02,douglas,9606 AMES AV,WARREN ROOFING,4500.0,5,0.31983384235217666,BLD-26-02966,2026-03-31,douglas,ROYALTY ROOFING INC,4905 N 93 ST,68134,964.0,4716.87
BLD-25-15434,2025-11-02,douglas,9606 AMES AV,WARREN ROOFING,4500.0,6,0.3404966850380259,BLD-26-02152,2026-03-12,douglas,"MCKINNIS ROOFING AND SHEET METAL, LLC",9205 GRAND AV,68134,934.0,8570.0
BLD-25-15434,2025-11-02,douglas,9606 AMES AV,WARREN ROOFING,4500.0,7,0.3489334536673083,BLD-26-00612,2026-01-23,douglas,BULLDOG ROOFING,3805 N 88 AV,68134,1104.0,6614.42
BLD-25-15434,2025-11-02,douglas,9606 AMES AV,WARREN ROOFING,4500.0,8,0.35756004859310414,BLD-26-02418,2026-03-18,douglas,HOMETOWN ROOFING,9628 RUGGLES ST,68134,1299.0,12451.35
BLD-25-15434,2025-11-02,douglas,9606 AMES AV,WARREN ROOFING,4500.0,9,0.3645753951157861,BLD-26-03585,2026-04-14,douglas,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,9235 RUGGLES ST,68134,1020.0,5029.26
BLD-25-15434,2025-11-02,douglas,9606 AMES AV,WARREN ROOFING,4500.0,10,0.3668162229798149,BLD-25-15604,2025-11-05,douglas,BN ENTERPRISES LLC,4521 TERRACE DR,68134,900.0,7557.0
BLD-25-15434,2025-11-02,douglas,9606 AMES AV,WARREN ROOFING,4500.0,11,0.37031181853098444,BLD-26-01563,2026-02-25,douglas,RESULTS CONTRACTING,9366 CAMDEN AV,68134,1096.0,10000.0
BLD-25-15434,2025-11-02,douglas,9606 AMES AV,WARREN ROOFING,4500.0,12,0.3710663064865673,BLD-26-01177,2026-02-13,douglas,JOHNSON WINDOW INSTALLATIONS,9217 GRAND AV,68134,905.0,4900.0
BLD-25-15437,2025-11-02,douglas,4724 S 136 ST,ERIE CONSTRUCTION MID-WEST INC,15454.0,1,0.6176228875917775,BLD-25-15603,2025-11-05,douglas,"HOME PRIDE CONTRACTORS, INC",12409 SELDIN DR,68144,1012.0,8500.0
BLD-25-15437,2025-11-02,douglas,4724 S 136 ST,ERIE CONSTRUCTION MID-WEST INC,15454.0,2,0.7282116473265567,BLD-25-17046,2025-12-26,douglas,"PRO GRADE EXTERIORS, LLC",5024 MAGNOLIA ST,68137,984.0,15000.0
BLD-25-15437,2025-11-02,douglas,4724 S 136 ST,ERIE CONSTRUCTION MID-WEST INC,15454.0,3,0.7390651782627808,BLD-26-02557,2026-03-23,douglas,White Castle Roofing,4836 MAGNOLIA ST,68137,988.0,1.0
BLD-25-15437,2025-11-02,douglas,4724 S 136 ST,ERIE CONSTRUCTION MID-WEST INC,15454.0,4,0.7428700208950273,BLD-26-02936,2026-03-30,douglas,MOOSE ROOFING,3368 S 130 ST,68144,905.0,14114.0
BLD-25-15437,2025-11-02,douglas,4724 S 136 ST,ERIE CONSTRUCTION MID-WEST INC,15454.0,5,0.7613023231134126,BLD-26-01900,2026-03-05,douglas,"PYRAMID ROOFING (AKA PYRAMID CONTRACTORS, INC)",14314 ANNE ST,68137,912.0,3400.0
BLD-25-15437,2025-11-02,douglas,4724 S 136 ST,ERIE CONSTRUCTION MID-WEST INC,15454.0,6,0.8043875189106081,BLD-25-16108,2025-11-17,douglas,RED RHINO ROOFS & SOLAR LLC,3604 S 121 ST,68144,924.0,3852.0
BLD-25-15437,2025-11-02,douglas,4724 S 136 ST,ERIE CONSTRUCTION MID-WEST INC,15454.0,7,0.811211282463034,BLD-25-15593,2025-11-05,douglas,ROYALTY ROOFING INC,13493 SPRING ST,68144,988.0,9954.69
BLD-25-15437,2025-11-02,douglas,4724 S 136 ST,ERIE CONSTRUCTION MID-WEST INC,15454.0,8,0.8342739154697719,BLD-25-15558,2025-11-04,douglas,PREMIER ROOFING COMPANY,13451 KINGSWOOD DR,68144,999.0,4914.0
BLD-25-15437,2025-11-02,douglas,4724 S 136 ST,ERIE CONSTRUCTION MID-WEST INC,15454.0,9,0.862932352954495,BLD-26-00312,2026-01-12,douglas,MILLARD GUTTERS CO DBA MILLARD ROOFING AND GUTTER,5618 S 113 ST,68137,912.0,5282.0
BLD-25-15437,2025-11-02,douglas,4724 S 136 ST,ERIE CONSTRUCTION MID-WEST INC,15454.0,10,0.8808623628896647,BLD-26-00445,2026-01-14,douglas,HOMETOWN ROOFING,6205 S 135 ST,68137,1058.0,14263.73
BLD-25-15437,2025-11-02,douglas,4724 S 136 ST,ERIE CONSTRUCTION MID-WEST INC,15454.0,11,0.8852621395640236,BLD-26-01869,2026-03-05,douglas,RED RHINO ROOFS & SOLAR LLC,13502 SPRING ST,68144,1052.0,11530.0
BLD-25-15437,2025-11-02,douglas,4724 S 136 ST,ERIE CONSTRUCTION MID-WEST INC,15454.0,12,0.9032948097243857,BLD-25-15491,2025-11-03,douglas,MILLARD GUTTERS CO DBA MILLARD ROOFING AND GUTTER,13820 W CR,68137,1068.0,5671.0
BLD-25-15439,2025-11-03,douglas,3220 N 40 AV,JASTORFFINC,3700.0,1,0.24088119400717836,BLD-26-03317,2026-04-08,douglas,HORN INDUSTRIES CORPORATION,3827 CORBY ST,68111,816.0,4200.0
BLD-25-15439,2025-11-03,douglas,3220 N 40 AV,JASTORFFINC,3700.0,2,0.2931871902112184,BLD-25-16191,2025-11-19,douglas,RESULTS CONTRACTING,4428 RUGGLES ST,68111,734.0,10000.0
BLD-25-15439,2025-11-03,douglas,3220 N 40 AV,JASTORFFINC,3700.0,3,0.30281705187930646,BLD-26-01240,2026-02-17,douglas,RESULTS CONTRACTING,3611 N 42 ST,68111,780.0,7000.0
BLD-25-15439,2025-11-03,douglas,3220 N 40 AV,JASTORFFINC,3700.0,4,0.3654748507031604,BLD-26-03216,2026-04-06,douglas,BLU GENERAL CONTRACTING,3915 N 40 AV,68111,734.0,7500.0
BLD-25-15439,2025-11-03,douglas,3220 N 40 AV,JASTORFFINC,3700.0,5,0.3666750057644617,BLD-26-03514,2026-04-13,douglas,19886 Northern Pine Road,3342 N 41 ST,68111,832.0,1660.0
BLD-25-15439,2025-11-03,douglas,3220 N 40 AV,JASTORFFINC,3700.0,6,0.37587199144296357,BLD-26-03368,2026-04-09,douglas,HERNANDEZ CONSTRUCTION CO LLC,3305 N 38 ST,68111,720.0,3000.0
BLD-25-15439,2025-11-03,douglas,3220 N 40 AV,JASTORFFINC,3700.0,7,0.38166682132974,BLD-26-01549,2026-02-25,douglas,MEJIA ROOFING & CONTRACTORS,3818 PINKNEY ST,68111,800.0,8640.0
BLD-25-15439,2025-11-03,douglas,3220 N 40 AV,JASTORFFINC,3700.0,8,0.40330517565416907,BLD-26-02363,2026-03-17,douglas,TEN PENNY EXTERIORS,4602 N 47 ST,68104,750.0,5200.0
BLD-25-15439,2025-11-03,douglas,3220 N 40 AV,JASTORFFINC,3700.0,9,0.518904348941369,BLD-25-16019,2025-11-13,douglas,MCCOY ROOFING HOLDINGS,3333 RUGGLES ST,68111,884.0,7000.0
BLD-25-15439,2025-11-03,douglas,3220 N 40 AV,JASTORFFINC,3700.0,10,0.6605688905329098,BLD-26-02789,2026-03-26,douglas,MOOSE ROOFING,5527 N 36 ST,68111,836.0,9745.12
BLD-25-15439,2025-11-03,douglas,3220 N 40 AV,JASTORFFINC,3700.0,11,0.7139646774473446,BLD-26-01222,2026-02-16,douglas,STARPOWER EXTERIOR INC,5912 NORTHWEST DR,68104,960.0,12201.08
BLD-25-15439,2025-11-03,douglas,3220 N 40 AV,JASTORFFINC,3700.0,12,0.7215450184242438,BLD-26-02016,2026-03-10,douglas,STARPOWER EXTERIOR INC,4034 NEBRASKA AV,68111,864.0,8500.0
BLD-25-15446,2025-11-03,douglas,13124 SEWARD ST,RESULTS CONTRACTING,27000.0,1,0.6426730130801834,BLD-26-02889,2026-03-29,douglas,EAGER SIDING COMPANY,3103 N 161 ST,68116,3102.0,10000.0
BLD-25-15446,2025-11-03,douglas,13124 SEWARD ST,RESULTS CONTRACTING,27000.0,2,0.6527246963803924,BLD-26-02845,2026-03-27,douglas,EMERALD ROOFING DBA RONNOCO CONSTRUCTION INC,2531 N 159 ST,68116,3060.0,13674.0
BLD-25-15446,2025-11-03,douglas,13124 SEWARD ST,RESULTS CONTRACTING,27000.0,3,0.8858368273702037,BLD-26-02463,2026-03-19,douglas,CARP'S EXTERIOR INC,5111 N 137 AV,68164,2894.0,25536.1
BLD-25-15446,2025-11-03,douglas,13124 SEWARD ST,RESULTS CONTRACTING,27000.0,4,0.8945390074399808,BLD-26-02254,2026-03-16,douglas,RESULTS CONTRACTING,3120 N 125 AV,68164,2640.0,23000.0
BLD-25-15446,2025-11-03,douglas,13124 SEWARD ST,RESULTS CONTRACTING,27000.0,5,0.9823739932962923,BLD-26-02211,2026-03-13,douglas,RESULTS CONTRACTING,3211 N 125 AV,68164,2599.0,15000.0
BLD-25-15446,2025-11-03,douglas,13124 SEWARD ST,RESULTS CONTRACTING,27000.0,6,1.1296448824667362,BLD-26-01032,2026-02-10,douglas,PACIFIC PARTNERS GROUP LLC,17863 HARNEY ST,68118,2967.0,9000.0
BLD-25-15446,2025-11-03,douglas,13124 SEWARD ST,RESULTS CONTRACTING,27000.0,7,1.13135827877524,BLD-25-16774,2025-12-11,douglas,EVEN-EZER CONSTRUCTION INC,16611 JONES ST,68118,2675.0,27000.0
BLD-25-15446,2025-11-03,douglas,13124 SEWARD ST,RESULTS CONTRACTING,27000.0,8,1.1465021225831693,BLD-26-01931,2026-03-06,douglas,WEATHERGUARD INC,1729 N 129 ST,68154,3879.0,14236.0
BLD-25-15446,2025-11-03,douglas,13124 SEWARD ST,RESULTS CONTRACTING,27000.0,9,1.1540813463354045,BLD-26-03462,2026-04-10,douglas,WILHELM CONSTRUCTION,302 S 160 ST,68118,2849.0,18000.0
BLD-25-15446,2025-11-03,douglas,13124 SEWARD ST,RESULTS CONTRACTING,27000.0,10,1.1853493440955059,BLD-25-15935,2025-11-11,douglas,ANCHOR ROOFING & LANDSCAPING LLC,16066 CHARLES ST,68118,2500.0,16000.0
BLD-25-15446,2025-11-03,douglas,13124 SEWARD ST,RESULTS CONTRACTING,27000.0,11,1.1934237525849565,BLD-25-16057,2025-11-14,douglas,RESULTS CONTRACTING,3029 N 125 AV,68164,2425.0,13000.0
BLD-25-15446,2025-11-03,douglas,13124 SEWARD ST,RESULTS CONTRACTING,27000.0,12,1.2228717309751553,BLD-26-01195,2026-02-13,douglas,BULLDOG ROOFING,18240 HARNEY ST,68022,2875.0,11921.8
BLD-25-15448,2025-11-03,douglas,2705 N 153 AV,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,12658.3,1,0.15283022688209,BLD-26-01778,2026-03-03,douglas,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,2422 N 154 AV,68116,1551.0,8299.05
BLD-25-15448,2025-11-03,douglas,2705 N 153 AV,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,12658.3,2,0.23053737192991478,BLD-26-02245,2026-03-16,douglas,RED RHINO ROOFS & SOLAR LLC,2504 N 154 AV,68116,1524.0,14353.0
BLD-25-15448,2025-11-03,douglas,2705 N 153 AV,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,12658.3,3,0.24580151020136892,BLD-26-02368,2026-03-17,douglas,Property Flips LLC,15117 OHIO ST,68116,1604.0,14800.0
BLD-25-15448,2025-11-03,douglas,2705 N 153 AV,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,12658.3,4,0.25264155081119644,BLD-26-02722,2026-03-25,douglas,SUPERIOR CONTRACTORS LLC,2502 N 154 ST,68116,1682.0,16280.18
BLD-25-15448,2025-11-03,douglas,2705 N 153 AV,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,12658.3,5,0.31140991472282653,BLD-26-02919,2026-03-30,douglas,D&M ROOFING INC,3526 N 152 AV,68116,1669.0,8173.0
BLD-25-15448,2025-11-03,douglas,2705 N 153 AV,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,12658.3,6,0.32008071816476547,BLD-26-03327,2026-04-08,douglas,ARTISAN ROOFING,15707 SAHLER ST,68116,1668.0,4000.0
BLD-25-15448,2025-11-03,douglas,2705 N 153 AV,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,12658.3,7,0.39567859138904576,BLD-26-03419,2026-04-09,douglas,HOMETOWN ROOFING,15051 EMMET ST,68116,1567.0,19465.65
BLD-25-15448,2025-11-03,douglas,2705 N 153 AV,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,12658.3,8,0.45064664394323817,BLD-25-16304,2025-11-21,douglas,BULLDOG ROOFING,4243 N 163 AV,68116,1560.0,11648.82
BLD-25-15448,2025-11-03,douglas,2705 N 153 AV,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,12658.3,9,0.4678498430888211,BLD-26-02337,2026-03-17,douglas,RED RHINO ROOFS & SOLAR LLC,15706 FRANKLIN ST,68118,1449.0,6240.0
BLD-25-15448,2025-11-03,douglas,2705 N 153 AV,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,12658.3,10,0.4711013342523626,BLD-25-15791,2025-11-07,douglas,BLU GENERAL CONTRACTING,2909 N 154 CR,68116,1303.0,18945.0
BLD-25-15448,2025-11-03,douglas,2705 N 153 AV,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,12658.3,11,0.4735975607327868,BLD-26-02241,2026-03-16,douglas,"MCKINNIS ROOFING AND SHEET METAL, LLC",4304 N 157 AV,68116,1867.0,28047.0
BLD-25-15448,2025-11-03,douglas,2705 N 153 AV,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,12658.3,12,0.48835914975018196,BLD-25-16373,2025-11-24,douglas,AMERIPRO ROOFING OF NEBRASKA,16009 TAYLOR ST,68116,1546.0,23889.57
BLD-25-15449,2025-11-03,douglas,4925 WILLIAM ST,OPTIMUS ROOFING AND GUTTERS LLC,12000.0,1,0.671071619040478,BLD-26-01546,2026-02-25,douglas,APPLE ROOFING,1932 S 61 ST,68106,1011.0,19608.0
BLD-25-15449,2025-11-03,douglas,4925 WILLIAM ST,OPTIMUS ROOFING AND GUTTERS LLC,12000.0,2,0.7031609951559652,BLD-25-16968,2025-12-20,douglas,BEST ROOFING,2614 S 34 ST,68105,720.0,7820.0
BLD-25-15449,2025-11-03,douglas,4925 WILLIAM ST,OPTIMUS ROOFING AND GUTTERS LLC,12000.0,3,0.7455603251724272,BLD-26-02968,2026-03-31,douglas,NEBRASKALAND ROOFING,6153 WALNUT ST,68106,1272.0,8600.0
BLD-25-15449,2025-11-03,douglas,4925 WILLIAM ST,OPTIMUS ROOFING AND GUTTERS LLC,12000.0,4,0.7801782665004936,BLD-25-16074,2025-11-14,douglas,MENDOZA CONSTRUCTION LLC,1205 S 55 ST,68106,864.0,5000.0
BLD-25-15449,2025-11-03,douglas,4925 WILLIAM ST,OPTIMUS ROOFING AND GUTTERS LLC,12000.0,5,0.7998995600197748,BLD-25-16230,2025-11-19,douglas,BULLDOG ROOFING,1511 S 56 ST,68106,1110.0,6369.63
BLD-25-15449,2025-11-03,douglas,4925 WILLIAM ST,OPTIMUS ROOFING AND GUTTERS LLC,12000.0,6,0.8249561777221934,BLD-25-16827,2025-12-15,douglas,FULL CIRCLE ROOFING,1507 S 50 ST,68106,744.0,7300.0
BLD-25-15449,2025-11-03,douglas,4925 WILLIAM ST,OPTIMUS ROOFING AND GUTTERS LLC,12000.0,7,0.8814210473230931,BLD-25-16697,2025-12-09,douglas,EDGAR ROOFING CO,3915 CASTELAR ST,68105,987.0,12500.0
BLD-25-15449,2025-11-03,douglas,4925 WILLIAM ST,OPTIMUS ROOFING AND GUTTERS LLC,12000.0,8,0.9222685122102755,BLD-25-16788,2025-12-12,douglas,4140 S 52ND ST.,2123 S 38 ST,68105,1118.0,12672.0
BLD-25-15449,2025-11-03,douglas,4925 WILLIAM ST,OPTIMUS ROOFING AND GUTTERS LLC,12000.0,9,0.9313118731674439,BLD-26-02261,2026-03-16,douglas,EMERSON ENTERPRISES UNLIMITED,2414 S 48 AV,68106,1192.0,18586.0
BLD-25-15449,2025-11-03,douglas,4925 WILLIAM ST,OPTIMUS ROOFING AND GUTTERS LLC,12000.0,10,0.9390327840283039,BLD-26-02134,2026-03-12,douglas,4140 S 52ND ST.,2707 S 41 ST,68105,806.0,5289.0
BLD-25-15449,2025-11-03,douglas,4925 WILLIAM ST,OPTIMUS ROOFING AND GUTTERS LLC,12000.0,11,0.9580662320236346,BLD-26-03596,2026-04-14,douglas,ROYALTY ROOFING INC,5432 SPRING ST,68106,912.0,3928.6
BLD-25-15449,2025-11-03,douglas,4925 WILLIAM ST,OPTIMUS ROOFING AND GUTTERS LLC,12000.0,12,0.9619730167130758,BLD-25-16717,2025-12-09,douglas,ERIE CONSTRUCTION MID-WEST INC,2305 S 50 ST,68106,1064.0,35000.0
BLD-25-15451,2025-11-03,douglas,5033 S 90 ST,TURTLE ROOFING OMAHA,16300.0,1,0.21811057992269695,BLD-26-03517,2026-04-13,douglas,BN ENTERPRISES LLC,8534 LAKEVIEW DR,68127,1122.0,12264.74
BLD-25-15451,2025-11-03,douglas,5033 S 90 ST,TURTLE ROOFING OMAHA,16300.0,2,0.5257244158563666,BLD-26-03005,2026-04-01,douglas,RESULTS CONTRACTING,6306 S 93 CR,68127,1453.0,10000.0
BLD-25-15451,2025-11-03,douglas,5033 S 90 ST,TURTLE ROOFING OMAHA,16300.0,3,0.6094523702247048,BLD-25-15766,2025-11-06,douglas,"PYRAMID ROOFING (AKA PYRAMID CONTRACTORS, INC)",11112 X ST,68137,936.0,4826.08
BLD-25-15451,2025-11-03,douglas,5033 S 90 ST,TURTLE ROOFING OMAHA,16300.0,4,0.6139501721567422,BLD-26-03230,2026-04-06,douglas,ANCHOR ROOFING & LANDSCAPING LLC,11018 Z ST,68137,1154.0,11600.0
BLD-25-15451,2025-11-03,douglas,5033 S 90 ST,TURTLE ROOFING OMAHA,16300.0,5,0.6192330411918531,BLD-26-00312,2026-01-12,douglas,MILLARD GUTTERS CO DBA MILLARD ROOFING AND GUTTER,5618 S 113 ST,68137,912.0,5282.0
BLD-25-15451,2025-11-03,douglas,5033 S 90 ST,TURTLE ROOFING OMAHA,16300.0,6,0.6274242613650276,BLD-26-02498,2026-03-20,douglas,DREW'S UNITED ROOFING & SIDING OF NE INC,12233 ORCHARD AV,68137,1200.0,11561.0
BLD-25-15451,2025-11-03,douglas,5033 S 90 ST,TURTLE ROOFING OMAHA,16300.0,7,0.6287310958860679,BLD-26-00906,2026-02-04,douglas,NEBRASKALAND ROOFING,7630 NINA ST,68124,960.0,7600.0
BLD-25-15451,2025-11-03,douglas,5033 S 90 ST,TURTLE ROOFING OMAHA,16300.0,8,0.6622385388948249,BLD-26-03097,2026-04-02,douglas,ERIE CONSTRUCTION MID-WEST INC,6313 S 115 ST,68137,1150.0,50914.48
BLD-25-15451,2025-11-03,douglas,5033 S 90 ST,TURTLE ROOFING OMAHA,16300.0,9,0.6853241296915034,BLD-25-15771,2025-11-06,douglas,APPLE ROOFING LLC,3636 CORNHUSKER DR,68124,912.0,8561.0
BLD-25-15451,2025-11-03,douglas,5033 S 90 ST,TURTLE ROOFING OMAHA,16300.0,10,0.7061842488753408,BLD-25-17046,2025-12-26,douglas,"PRO GRADE EXTERIORS, LLC",5024 MAGNOLIA ST,68137,984.0,15000.0
BLD-25-15451,2025-11-03,douglas,5033 S 90 ST,TURTLE ROOFING OMAHA,16300.0,11,0.7090076648480769,BLD-26-02557,2026-03-23,douglas,White Castle Roofing,4836 MAGNOLIA ST,68137,988.0,1.0
BLD-25-15451,2025-11-03,douglas,5033 S 90 ST,TURTLE ROOFING OMAHA,16300.0,12,0.7166120595983742,BLD-25-15853,2025-11-10,douglas,RED RHINO ROOFS & SOLAR LLC,5417 S 107 ST,68127,1396.0,8246.0
